country,question,mean_wave_1,mean_wave_7,change_direction,change_magnitude,t_statistic,p_value
MEX,A165,1.825056433408578,1.8970080552359034,Increase,0.07195162182732551,-6.199793480462323,6.338364100756105e-10
MEX,A032,0.5552531301034295,0.655944859276278,Increase,0.10069172917284852,-6.194747386908662,6.500461157765606e-10
JPN,A030,0.15448504983388706,0.25055432372505543,Increase,0.09606927389116837,-6.106979976184736,1.1708831785806415e-09
ARG,A032,0.5810945273631841,0.7058823529411765,Increase,0.1247878255779924,-5.884830924689479,4.662683492852272e-09
JPN,A173,5.54183266932271,6.04594180704441,Increase,0.5041091377217004,-5.880158360072312,4.776095395871839e-09
KOR,A100,0.06494845360824743,0.16626506024096385,Increase,0.10131660663271642,-5.877940166703744,4.796700575463373e-09
MEX,A105,0.14589003810560697,0.2474108170310702,Increase,0.10152077892546324,-5.819347657959286,6.453107893901131e-09
AUS,A170,7.894779771615008,7.527545909849749,Drop,-0.36723386176525885,5.658467542457647,1.692055066697509e-08
AUS,A102,0.05618892508143322,0.1252808988764045,Increase,0.06909197379497128,-5.5715062670132935,2.7485902655174265e-08
KOR,A038,0.33608247422680415,0.4497991967871486,Increase,0.11371672256034443,-5.488963288869802,4.5245771121885536e-08
AUS,A040,0.22231270358306188,0.14451185879757308,Drop,-0.07780084478548879,5.379899249345018,8.196549972330971e-08
ARG,A124_06,0.005970149253731343,0.04187437686939183,Increase,0.035904227615660485,-5.296571278651069,1.3857608881409558e-07
MEX,A034,0.13445835601524225,0.19712643678160918,Increase,0.06266808076636693,-5.043422945949084,4.809982702710775e-07
MEX,A124_02,0.06641262928688078,0.11456534254461716,Increase,0.048152713257736374,-5.014727008638747,5.592336823576394e-07
ARG,A100,0.09054726368159204,0.19441674975074777,Increase,0.10386948606915573,-5.014275172075058,5.836450681342546e-07
JPN,A124_02,0.08637873754152824,0.1474164133738602,Increase,0.06103767583233195,-4.807780588265928,1.6178701692219539e-06
MEX,A062,2.302909298345693,2.402642159678346,Increase,0.09973286133265269,-4.731972415018745,2.311664739620081e-06
MEX,A027,0.8067501360914534,0.8638713383113154,Increase,0.057121202219861944,-4.625538517459399,3.86961692184567e-06
AUS,A038,0.15472312703583063,0.2167677881963596,Increase,0.06204466116052898,-4.384090571119808,1.2069628710868673e-05
AUS,A101,0.1978827361563518,0.28042624789680315,Increase,0.08254351174045135,-4.346592631305314,1.428512234256397e-05
JPN,A042,0.061461794019933555,0.027346637102734665,Drop,-0.034115156917198894,4.1485560935829,3.480336561044075e-05
AUS,A008,1.6942622950819672,1.7828254847645428,Increase,0.0885631896825756,-4.093036601431181,4.380319414155949e-05
JPN,A032,0.6852159468438538,0.7531411677753141,Increase,0.06792522093146036,-3.8161917156358753,0.00013886110801157014
ARG,A029,0.41691542288557215,0.34297108673978066,Drop,-0.07394433614579149,3.4216604269110222,0.000634896720726006
ARG,A038,0.16019900497512438,0.21734795613160518,Increase,0.057148951156480804,-3.2789708756780103,0.001059935612198352
AUS,A165,1.5180824222035323,1.4598214285714286,Drop,-0.058260993632103686,3.1193190516929734,0.0018330310219557512
KOR,A124_03,0.5587628865979382,0.623293172690763,Increase,0.06453028609282485,-3.065305806574659,0.002202725398236134
KOR,A040,0.1422680412371134,0.09959839357429719,Drop,-0.04266964766281621,3.032242092188602,0.0024601239911334546
ARG,A030,0.49950248756218907,0.5663010967098704,Increase,0.06679860914768132,-3.0050536196278856,0.0026882444808747487
JPN,A165,1.5850773430391265,1.6440281030444965,Increase,0.05895076000537003,-2.946798618448345,0.0032430856524366396
AUS,A124_02,0.05618892508143322,0.03364589078874793,Drop,-0.02254303429268529,2.8824613005717024,0.003984087721984053
KOR,A027,0.6865979381443299,0.7421686746987952,Increase,0.055570736554465316,-2.8662724902009162,0.004196347306921683
JPN,A062,2.503466204506066,2.4393019726858878,Drop,-0.06416423182017805,2.827097162677194,0.004735669011221892
ARG,A165,1.7390350877192982,1.7930672268907564,Increase,0.054032139171458216,-2.7563426262420276,0.005903035913043862
JPN,A041,0.2807308970099668,0.3303769401330377,Increase,0.049646043123070915,-2.726824616486637,0.006438607410137269
MEX,A170,7.96457765667575,8.13735632183908,Increase,0.17277866516333074,-2.6747994546400737,0.007512834084043346
KOR,A165,1.6198257080610021,1.6706827309236947,Increase,0.05085702286269256,-2.439763923582226,0.014785906748045115
AUS,A009,1.9722901385493072,2.055122494432071,Increase,0.08283235588276394,-2.4276439276144566,0.01527000439645878
JPN,A170,6.57931638913234,6.7593984962406015,Increase,0.18008210710826145,-2.3439887848039396,0.019159084434928152
JPN,A009,2.5523889354568317,2.4742729306487696,Drop,-0.07811600480806202,2.284789914431581,0.02240755495254967
AUS,A041,0.3770358306188925,0.416988416988417,Increase,0.03995258636952448,-2.214154240360486,0.02690255546994379
MEX,A040,0.3538377789874796,0.3208740655549166,Drop,-0.03296371343256299,2.0851764331533817,0.037124149157026255
KOR,A102,0.03814432989690722,0.06265060240963856,Increase,0.02450627251273134,-2.0784949664028596,0.037778921798405966
KOR,A104,0.09072164948453608,0.061847389558232935,Drop,-0.028874259926303145,2.010999040290224,0.044464727681020874
JPN,A040,0.06229235880398671,0.04434589800443459,Drop,-0.017946460799552116,2.007718465456988,0.04478622327122553
AUS,A124_06,0.05863192182410423,0.0766685052399338,Increase,0.018036583415829574,-1.967359674597646,0.049239101350255894
KOR,C006,5.167216721672167,6.081927710843374,Increase,0.9147109891712066,-11.05727257019354,2.2383528389714256e-27
MEX,C006,7.391280653950954,6.810344827586207,Drop,-0.5809358263647466,7.588221499945318,4.1441908157837216e-14
ARG,C006,5.521871820956257,5.985985985985986,Increase,0.4641141650297289,-4.327026487987085,1.5866398436550822e-05
JPN,E069_02,2.7253032928942806,1.884185303514377,Drop,-0.8411179893799037,28.905551426100132,1.0917905320422213e-156
AUS,E069_13,2.0678807947019866,2.743114109050028,Increase,0.6752333143480413,-27.65606563850816,1.944054417578182e-148
ARG,E069_07,2.0697674418604652,3.0635416666666666,Increase,0.9937742248062014,-28.24633582043129,2.1144313839575362e-147
KOR,E069_02,1.602536997885835,2.466666666666667,Increase,0.8641296687808318,-27.215465021091116,6.725597470001771e-138
MEX,E069_17,2.3532934131736525,3.1723937099592314,Increase,0.8191002967855789,-25.831590423220966,5.562430448575552e-135
KOR,E069_07,2.1327713382507905,3.040160642570281,Increase,0.9073893043194907,-25.99786151291141,2.2772738357789477e-127
KOR,E069_08,1.66,2.440160642570281,Increase,0.7801606425702812,-25.786911062285768,2.103618785879146e-125
ARG,E069_17,2.3293051359516617,3.1214574898785425,Increase,0.7921523539268809,-22.842574507679664,1.0724484359028189e-102
MEX,E033,7.521318931210915,5.648802017654477,Drop,-1.8725169135564386,20.738530630210093,1.007061279191009e-89
AUS,E028,2.6775271512113616,2.193404136389044,Drop,-0.48412301482231745,20.68319706261847,9.88165233998438e-89
ARG,E015,1.7461300309597523,2.443866943866944,Increase,0.6977369129071918,-20.92140066154957,1.131549616063441e-87
ARG,E069_08,2.491919191919192,3.136222910216718,Increase,0.6443037182975262,-19.021485071036743,3.869409039502555e-74
KOR,E015,2.669109947643979,2.091566265060241,Drop,-0.5775436825837379,18.575534787899656,1.2538608700943906e-71
AUS,E026,2.5117252931323284,2.0788590604026846,Drop,-0.43286623272964375,18.392570966110114,2.1092070377026923e-71
MEX,E069_05,2.7419706042460534,3.241338813857898,Increase,0.49936820961184436,-16.448801533404556,1.2199241352206534e-58
KOR,E069_17,1.8438818565400843,2.376706827309237,Increase,0.5328249707691528,-16.591178590788555,8.261397084252128e-58
MEX,E069_07,2.9063690800217747,3.3726744186046513,Increase,0.4663053385828766,-16.217924824746266,4.1220015809996884e-57
KOR,E016,1.1465968586387434,1.5156626506024096,Increase,0.3690657919636662,-16.22209634906877,6.547287226114296e-56
JPN,E069_13,2.887543252595156,2.469684030742955,Drop,-0.41785922185220103,15.786634154151846,2.1077725674785706e-53
AUS,E027,2.4190871369294604,2.016750418760469,Drop,-0.4023367181689914,15.284496784393609,1.3565422068858329e-50
JPN,E015,2.812553740326741,2.4653760238272526,Drop,-0.3471777164994885,14.785241246363501,1.954703891657476e-47
KOR,E012,0.918918918918919,0.6738955823293172,Drop,-0.24502333658960174,14.838449572432697,2.3997363827520333e-47
KOR,E028,2.822946175637394,2.503614457831325,Drop,-0.31933171780606884,14.455658142817914,7.434305733091924e-45
MEX,E012,0.8922229026331905,0.7041838538597525,Drop,-0.18803904877343802,13.948118978049884,6.87891457603257e-43
AUS,E069_01,2.3472222222222223,2.8151027207107164,Increase,0.4678804984884941,-13.930985306112175,1.548211762002197e-42
AUS,E069_07,2.434070434070434,2.8134078212290503,Increase,0.3793373871586163,-13.786017769585737,9.200941974896528e-42
MEX,E069_08,2.9891126837234623,3.364172068355922,Increase,0.3750593846324599,-12.979953820649367,1.1420307017914398e-37
KOR,E069_04,2.1045406546990497,2.542971887550201,Increase,0.43843123285115126,-13.076184674390712,2.34995081244571e-37
KOR,E018,2.6153039832285114,2.2289156626506026,Drop,-0.38638832057790884,12.905412065611337,9.545910207782548e-37
ARG,E028,2.661764705882353,2.234527687296417,Drop,-0.42723701858593577,12.960088276241693,9.842308903214546e-37
AUS,E015,2.2140522875816995,1.8381766381766382,Drop,-0.37587564940506124,12.302945223767145,8.9161177537631e-34
MEX,E028,2.85125,2.642567958357432,Drop,-0.20868204164256765,12.036239622348859,1.2132161082658825e-32
KOR,E069_06,2.0263435194942043,2.4265060240963856,Increase,0.4001625046021813,-12.128797878874673,1.388666217549681e-32
MEX,E069_06,2.8209036472509528,3.1899827288428324,Increase,0.36907908159187963,-11.984522441970508,1.784295619804025e-32
MEX,E016,1.2941176470588236,1.5432887855897734,Increase,0.24917113853094985,-11.363847090081451,2.1483142041765588e-29
MEX,E015,2.3843222645617854,2.0594002306805077,Drop,-0.3249220338812777,11.245023269223797,7.50810837004528e-29
AUS,E012,0.75,0.5538461538461539,Drop,-0.19615384615384612,11.179773845057865,2.220617881993251e-28
MEX,E069_04,2.6804572672836144,3.0144759698899826,Increase,0.3340187026063681,-10.781494013120103,1.0855726382672558e-26
AUS,E069_02,2.155045118949959,1.8667038482989404,Drop,-0.28834127065101867,9.983820558975424,5.053801472805246e-23
KOR,E069_05,2.2699256110520722,2.5983935742971886,Increase,0.3284679632451164,-9.866951026102493,2.3250006536632115e-22
ARG,E069_04,2.5529767911200807,2.90599173553719,Increase,0.35301494441710934,-9.834566586120326,2.603305853899112e-22
ARG,E069_05,2.8737373737373737,3.221285563751317,Increase,0.34754819001394344,-9.455225159750265,8.98665653505462e-21
JPN,E026,2.392857142857143,2.621212121212121,Increase,0.2283549783549783,-9.289662820184255,4.1422459174453387e-20
AUS,E069_04,2.80718954248366,3.024498886414254,Increase,0.21730934393059398,-8.710270284011248,5.307965405705979e-18
ARG,E069_02,3.152217741935484,2.8305439330543933,Drop,-0.32167380888109065,8.4848460052897,4.265113572033051e-17
KOR,E034,1.8186101295641932,1.989558232931727,Increase,0.17094810336753374,-7.827819498254067,8.226135380141359e-15
JPN,E028,2.794816414686825,2.608486017357763,Drop,-0.18633039732906198,7.824991707964569,8.285943372044952e-15
JPN,E069_17,2.1796200345423142,1.9618506493506493,Drop,-0.2177693851916649,7.738722723573366,1.490794789772917e-14
JPN,E069_01,3.1206896551724137,3.3466666666666667,Increase,0.22597701149425298,-7.4814977459863705,1.0413132203771031e-13
MEX,E069_01,1.9129014697876974,2.165898617511521,Increase,0.25299714772382353,-7.409019845560423,1.58171114398745e-13
KOR,E033,6.110251450676983,5.265060240963855,Drop,-0.8451912097131276,7.431246928043686,2.8613078584611685e-13
JPN,E069_05,2.7641921397379914,2.548076923076923,Drop,-0.21611521666106848,7.322743425142883,3.399829276463588e-13
JPN,E069_04,2.4594827586206898,2.2721036585365852,Drop,-0.18737910008410452,7.133615059952121,1.3015251589466823e-12
JPN,E069_08,2.7584708948740224,2.5659609120521174,Drop,-0.192509982821905,6.887550943662812,7.244051432600797e-12
ARG,E018,1.6510903426791277,1.4141949152542372,Drop,-0.23689542742489045,6.880258914272276,8.320554576681423e-12
AUS,E025,1.3559042113955408,1.2185761957730812,Drop,-0.13732801562245966,6.816332236291768,1.1928078558300632e-11
ARG,E033,5.261829652996846,5.898428053204353,Increase,0.6365984002075074,-6.55850103335724,7.530823916182148e-11
JPN,E069_06,2.2163793103448275,2.0337682271680735,Drop,-0.182611083176754,6.507940970068557,9.292303675069064e-11
MEX,E003,2.0180127832655432,2.233736327000576,Increase,0.21572354373503266,-6.28133559838737,3.77559575851541e-10
KOR,E027,2.4945355191256833,2.3084337349397592,Drop,-0.18610178418592405,6.302995013074812,3.7842910874436906e-10
ARG,E003,2.0361197110423115,2.314401622718053,Increase,0.27828191167574134,-6.283939083430188,4.072779635987834e-10
AUS,E033,5.767713004484305,5.289871944121071,Drop,-0.47784106036323415,6.262778329954544,4.427376009114848e-10
KOR,E069_01,2.231578947368421,2.4473895582329317,Increase,0.2158106108645108,-5.876853159936867,4.9769706313900974e-09
AUS,E018,1.3904840032813781,1.5316027088036117,Increase,0.1411187055222336,-5.8296814345679975,6.191767676982305e-09
ARG,E004,2.717837837837838,2.437044745057232,Drop,-0.28079309278060594,5.7895040363304435,8.252434577199039e-09
AUS,E034,2.180398959236774,2.080590238365494,Drop,-0.0998087208712799,5.454149367763051,5.417580659835067e-08
JPN,E023,2.499581589958159,2.3467070401211205,Drop,-0.1528745498370383,5.341974195620745,1.0020232446712898e-07
KOR,E069_13,2.419491525423729,2.6040160642570283,Increase,0.18452453883329945,-5.331026228506943,1.1063318272076558e-07
JPN,E012,0.3274932614555256,0.21317365269461078,Drop,-0.11431960876091482,5.121047724583177,3.4375371626740287e-07
KOR,E004,2.4533947065592634,2.229718875502008,Drop,-0.22367583105725553,4.8439710823292295,1.379083706300458e-06
ARG,E025,1.9345238095238095,2.09853249475891,Increase,0.16400868523510037,-4.557065062401401,5.5511556807939245e-06
JPN,E034,2.226308345120226,2.122950819672131,Drop,-0.10335752544809518,4.339492203402676,1.5209921899765853e-05
MEX,E027,2.4457070707070705,2.539526832083093,Increase,0.09381976137602255,-4.1305226445794325,3.709435096429733e-05
ARG,E069_13,2.7583417593528816,2.9054621848739495,Increase,0.14712042552106785,-4.009577001810957,6.313399085704941e-05
JPN,E003,2.0923076923076924,1.9275834011391375,Drop,-0.16472429116855491,3.9573528870940415,7.815678237810555e-05
JPN,E016,1.4567474048442905,1.3587842846553002,Drop,-0.09796312018899034,3.8227702868884386,0.00013559382499398243
JPN,E027,2.5423542354235424,2.443825441039926,Drop,-0.09852879438361661,3.422440998961405,0.0006337532084821627
MEX,E004,2.5358009708737863,2.6557093425605536,Increase,0.11990837168676727,-3.1971283208493606,0.0014008368977250583
JPN,E033,6.039942938659059,5.745901639344262,Drop,-0.29404129931479694,3.145328173975992,0.0016896899626104727
JPN,E018,2.7322357019064123,2.7943368107302535,Increase,0.06210110882384123,-2.9864901329621536,0.0028535499500717504
ARG,E069_06,3.029263370332997,2.9200404858299596,Drop,-0.10922288450303741,2.904813472663781,0.0037155405243038076
